--- Telegram Scrape Report ---
Timestamp: 2025-12-15 19:47:19
Total Channels: 117
Successful Scrapes: 82
Failed Scrapes: 0

--- Channels with Found Configs ---
freev2rayssr: 300 configs
V2ray_Alpha: 246 configs
LonUp_M: 200 configs
heyatserver: 198 configs
oneclickvpnkeys: 164 configs
V2RAY_VMESS_free: 156 configs
V2rayNG3: 153 configs
DailyV2RY: 149 configs
FreakConfig: 142 configs
CaV2ray: 132 configs
ViProxys: 100 configs
vpnaloo: 99 configs
Awlix_ir: 89 configs
ShadowsocksM: 80 configs
configfa: 77 configs
v2rayng_1378: 71 configs
Outline_Vpn: 69 configs
configV2rayNG: 68 configs
v2raying: 68 configs
v2rayngvpn: 65 configs
hopev2ray: 65 configs
viturey: 61 configs
vmessiran: 60 configs
fastfreeconfig: 60 configs
v2rayngconfig: 52 configs
VmessProtocol: 44 configs
yaney_01: 41 configs
dailyv2ray: 40 configs
OutlineReleasedKey: 34 configs
sinavm: 30 configs
ev2rayy: 25 configs
V2RAYROZ: 24 configs
ZibaNabz: 24 configs
tehranargo: 24 configs
customv2ray: 22 configs
vmess_vless_v2rayng: 20 configs
free4allVPN: 20 configs
FreeV2rays: 20 configs
orange_vpns: 20 configs
GetConfigIR: 20 configs
IP_CF_Config: 20 configs
vpnfail_vless: 20 configs
v2nodes: 20 configs
freeconfigsplus: 20 configs
Farah_VPN: 20 configs
V2rayNG_Outlinee: 19 configs
FreeVPNHomesConfigs: 19 configs
vpnstorefast: 18 configs
v2rayvpnchannel: 18 configs
freedom_config: 18 configs
ArV2ray: 17 configs
PrivateVPNs: 16 configs
v2ray_for_free: 14 configs
freedomofinfor: 14 configs
Vpnstable: 13 configs
ConfigWireguard: 12 configs
vpn_ocean: 10 configs
NoForcedHeaven: 10 configs
configV2rayForFree: 9 configs
freev2raym: 9 configs
v2rayngfreee: 9 configs
v2ngfast: 9 configs
GrizzlyVPN: 8 configs
iraniv2ray: 8 configs
ServerNett: 6 configs
vip_vpn_2022: 6 configs
server_nekobox: 6 configs
v2rayfree: 6 configs
v2raymelliii: 6 configs
Network_442: 5 configs
v2Source: 5 configs
redfree8: 5 configs
AzadNet: 5 configs
golestan_vpn: 5 configs
xroVPN: 5 configs
proSSH: 5 configs
ultrasurf_12: 3 configs
bypass_filter: 3 configs
Ahmedhamoomi_Servers: 2 configs
Ln2Ray: 2 configs
vmess_iran: 1 configs
ZeusVPN_Net: 1 configs

--- Failed Channels ---
